gear,area,target,id_q,value,id_I,short_description,text,score_obs,style,event_code,strategy
NA,NA,NA,4,1,6,catch_assemblage,1,1,pelagic_trawler,gal,C
NA,NA,NA,13,0,6,change_practices,0,0,pelagic_trawler,gal,C
NA,NA,NA,15,-999,6,avoidance,No effect,NA,pelagic_trawler,gal,C
NA,not_specified,NA,2,1.5,6,go_out,"1; wait a minute, spring when the weather changes; in July when it's hottest, the fish are scattered, so there's no point in going out; say 2.",2,pelagic_trawler,hws,C
NA,Baltic,NA,2,NA,6,go_out,"1; wait a minute, spring when the weather changes; in July when it's hottest, the fish are scattered, so there's no point in going out; say 2.",2,pelagic_trawler,hws,C
NA,NorthSea,NA,2,NA,6,go_out,"1; wait a minute, spring when the weather changes; in July when it's hottest, the fish are scattered, so there's no point in going out; say 2.",2,pelagic_trawler,hws,C
NA,NA,NA,4,1,6,catch_assemblage,NA,NA,pelagic_trawler,hws,C
NA,NA,NA,13,0,6,change_practices,0,0,pelagic_trawler,hws,C
NA,NA,NA,15,-999,6,avoidance,It has no effec,NA,pelagic_trawler,hws,C
NA,not_specified,NA,2,5,6,go_out,5,5,pelagic_trawler,hww,C
NA,Baltic,NA,2,NA,6,go_out,5,5,pelagic_trawler,hww,C
NA,NorthSea,NA,2,NA,6,go_out,5,5,pelagic_trawler,hww,C
NA,NA,NA,4,1,6,catch_assemblage,1,1,pelagic_trawler,hww,C
NA,NA,NA,13,2,6,change_practices,"2, stays upwind or goes ashore when the wind picks up to storm force, and waits 1-2 days until it calms down; when the waves are too high, the trawl does not fish as well.",2,pelagic_trawler,hww,C
NA,NA,NA,15,3.5,6,avoidance,"We avoid it, we can go down into the Baltic Sea on the other side of Åland; we can move, we go closer to Finland, 3-4.",3.5,pelagic_trawler,hww,C
NA,not_specified,NA,2,1,6,go_out,"we avoid going out, 1.",1,pelagic_trawler,ici,C
NA,Baltic,NA,2,NA,6,go_out,"we avoid going out, 1.",1,pelagic_trawler,ici,C
NA,NorthSea,NA,2,NA,6,go_out,"we avoid going out, 1.",1,pelagic_trawler,ici,C
NA,NA,NA,4,1,6,catch_assemblage,1,1,pelagic_trawler,ici,C
NA,NA,NA,13,2,6,change_practices,"2, does not go out",2,pelagic_trawler,ici,C
NA,NA,NA,15,4,6,avoidance,"Yes, we can change course if we know in advance, but if the wind is too strong, it doesn't help to move closer to land; we can't go closer than 40 km",NA,pelagic_trawler,ici,C
NA,NA,NA,2,NA,6,go_out,"Icing & high winds, then it's 1",1,pelagic_trawler,NA,C
NA,not_specified,NA,2,1,6,go_out,"1, we have the quota so we don't need to risk the crew.",1,pelagic_trawler,sto,C
NA,Baltic,NA,2,NA,6,go_out,"1, we have the quota so we don't need to risk the crew.",1,pelagic_trawler,sto,C
NA,NorthSea,NA,2,NA,6,go_out,"1, we have the quota so we don't need to risk the crew.",1,pelagic_trawler,sto,C
NA,NA,NA,4,1,6,catch_assemblage,1,1,pelagic_trawler,sto,C
NA,NA,NA,13,2,6,change_practices,"2, does not go out",2,pelagic_trawler,sto,C
NA,NA,NA,15,4,6,avoidance,as we mentioned earlier,NA,pelagic_trawler,sto,C
NA,NA,not_specified,2,1,7,go_out,"I have not experienced it, but it probably has an impact, so then I don't fish",NA,coastal,abl,C
NA,NA,herring,2,NA,7,go_out,"I have not experienced it, but it probably has an impact, so then I don't fish",NA,coastal,abl,C
NA,NA,perch,2,NA,7,go_out,"I have not experienced it, but it probably has an impact, so then I don't fish",NA,coastal,abl,C
NA,NA,NA,4,-999,7,catch_assemblage,"Haven't experienced it, but heard that it affects fishing ",NA,coastal,abl,C
NA,NA,NA,13,-999,7,change_practices,NA,NA,coastal,abl,C
NA,NA,NA,15,-999,7,avoidance,NA,NA,coastal,abl,C
NA,NA,not_specified,2,4,7,go_out,then I fish anyway ,NA,coastal,erf,C
NA,NA,herring,2,NA,7,go_out,then I fish anyway ,NA,coastal,erf,C
NA,NA,perch,2,NA,7,go_out,then I fish anyway ,NA,coastal,erf,C
NA,NA,NA,4,1,7,catch_assemblage,1,1,coastal,erf,C
NA,NA,NA,13,0,7,change_practices,0,0,coastal,erf,C
NA,NA,NA,15,1,7,avoidance,1 (but it doesn't matter),1,coastal,erf,C
NA,NA,not_specified,2,3,7,go_out,"depends on the wind direction, if it's N then it's from the outside so then it's difficult, if it's S or SW, in gale force winds I don't fish anyway because there's a strong current in the lake so you get crap in your nets, but I do go out in gale force winds sometimes , depends on the wind direction",NA,coastal,gal,R
NA,NA,herring,2,NA,7,go_out,"depends on the wind direction, if it's N then it's from the outside so then it's difficult, if it's S or SW, in gale force winds I don't fish anyway because there's a strong current in the lake so you get crap in your nets, but I do go out in gale force winds sometimes , depends on the wind direction",NA,coastal,gal,R
NA,NA,perch,2,NA,7,go_out,"depends on the wind direction, if it's N then it's from the outside so then it's difficult, if it's S or SW, in gale force winds I don't fish anyway because there's a strong current in the lake so you get crap in your nets, but I do go out in gale force winds sometimes , depends on the wind direction",NA,coastal,gal,R
NA,NA,NA,4,-998,7,catch_assemblage,"Yes, I think it affects the composition;  seaweed gets caught in the nets and creates currents; can't say if other species are affected",NA,coastal,gal,R
NA,NA,NA,13,1,7,change_practices,Changes the fishing spot,NA,coastal,gal,R
NA,NA,NA,15,4,7,avoidance,"4, depends on the wind direction, and sometimes the fishing spots don't match where it's sheltered.",4,coastal,gal,R
NA,NA,not_specified,2,2,7,go_out,"I don't go because the fish won't keep as well, I don't fish for herring at all, in that case I fish for perch, 2",2,coastal,hws,A
NA,NA,herring,2,1,7,go_out,"I don't go because the fish won't keep as well, I don't fish for herring at all, in that case I fish for perch, 2",2,coastal,hws,A
NA,NA,perch,2,2,7,go_out,"I don't go because the fish won't keep as well, I don't fish for herring at all, in that case I fish for perch, 2",2,coastal,hws,A
NA,NA,NA,4,2,7,catch_assemblage,"herring are fished a little further out, and perch closer in; always fish in different places, so the composition is not affected in each place",M,coastal,hws,A
NA,NA,NA,13,1,7,change_practices,1 changes how much perch I fish compared to herring,1,coastal,hws,A
NA,NA,NA,15,2,7,avoidance,"I don't know, but you can still fish for perch; the roach moves further out, and I can go a little further out, but I don't have a very big boat, so I can't go that far out, 2",2,coastal,hws,A
NA,NA,not_specified,2,4.5,7,go_out,"I probably go fishing anyway, it's the wind that matters, I probably try anyway (=5? or =4?)",4.5,coastal,hww,R
NA,NA,herring,2,NA,7,go_out,"I probably go fishing anyway, it's the wind that matters, I probably try anyway (=5? or =4?)",4.5,coastal,hww,R
NA,NA,perch,2,NA,7,go_out,"I probably go fishing anyway, it's the wind that matters, I probably try anyway (=5? or =4?)",4.5,coastal,hww,R
NA,NA,NA,4,-999,7,catch_assemblage,difficult to answer,NA,coastal,hww,R
NA,NA,NA,13,2,7,change_practices,"Yes, if there is no ice, I cannot fish, so I have to fish from a boat, but that is usually not very productive; 2",2,coastal,hww,R
NA,NA,NA,15,1,7,avoidance,"1 (if the ice is not strong enough, it's pretty much the same, then you have to go very far),",1,coastal,hww,R
NA,NA,not_specified,2,-999,7,go_out,I am not on the lake at that time of year when there is a risk of icing (because the ice forms so early,NA,coastal,ici,C
NA,NA,herring,2,NA,7,go_out,I am not on the lake at that time of year when there is a risk of icing (because the ice forms so early,NA,coastal,ici,C
NA,NA,perch,2,NA,7,go_out,I am not on the lake at that time of year when there is a risk of icing (because the ice forms so early,NA,coastal,ici,C
NA,NA,NA,4,-999,7,catch_assemblage,We skip this one,NA,coastal,ici,C
NA,NA,NA,13,-999,7,change_practices,"I don't know, I haven't experienced it (maybe I'll skip it then),",NA,coastal,ici,C
NA,NA,NA,15,4,7,avoidance,"I think so , it depends on how it accumulates in certain places",NA,coastal,ici,C
NA,NA,NA,2,NA,7,go_out,storms and weather like that,NA,coastal,NA,
NA,NA,not_specified,2,1,7,go_out,1,1,coastal,sto,R
NA,NA,herring,2,NA,7,go_out,1,1,coastal,sto,R
NA,NA,perch,2,NA,7,go_out,1,1,coastal,sto,R
NA,NA,NA,4,-998,7,catch_assemblage,"Yes, I think it affects the composition; seaweed gets caught in the nets and creates currents; can't say if other species are affected",NA,coastal,sto,R
NA,NA,NA,13,2,7,change_practices,"2; Do you go out in a storm? It has happened that you make a mistake and go out, but you have to put the nets in a sheltered spot, you have your spots",2,coastal,sto,R
NA,NA,NA,15,4,7,avoidance,"same there, but you rarely fish in a storm if you know about it, but sometimes you have to go out as I said",NA,coastal,sto,R
