"gear","area","target","id_q","id_sub","value","range.lwr","range.upr","unit_range","id_I","text","score_obs","description","event_code","short_description","uncertainty","min","max","value.norm","unc.norm"
NA,NA,NA,4,"a",1,NA,NA,NA,2,"1","1","Heatwave in the winter season","hww","catch_assemblage",1,1,5,0,0
NA,NA,NA,4,"b",4,NA,NA,NA,2,"Somewhat different species if we fish in the same place   e.g., a lot of bream; somewhat different (4).","4","Heatwave in the summer season","hws","catch_assemblage",1,1,5,0.75,0
NA,NA,NA,4,"c",-998,NA,NA,NA,2,NA,NA,"Severe icing (in the winter season)","ici","catch_assemblage",1,1,5,NA,NA
NA,NA,NA,4,"d",-998,NA,NA,NA,2,NA,NA,"Algal bloom (in the summer season)","abl","catch_assemblage",1,1,5,NA,NA
NA,NA,NA,4,"e",1,NA,NA,NA,2,"1","1","Extreme cloudburst (in the summer season)","erf","catch_assemblage",1,1,5,0,0
NA,NA,NA,4,"f",1,NA,NA,NA,2,"1","1","Gale","gal","catch_assemblage",1,1,5,0,0
NA,NA,NA,4,"g",-998,NA,NA,NA,2,NA,NA,"Storm","sto","catch_assemblage",1,1,5,NA,NA
NA,NA,"not_specified",5,"a",3,NA,NA,NA,2,"3","3","Heatwave in the winter season","hww","catch_condition",1,1,5,0.5,0
NA,NA,"perch",5,"a",NA,NA,NA,NA,2,"3","3","Heatwave in the winter season","hww","catch_condition",1,1,5,NA,NA
NA,NA,"salmon",5,"a",NA,NA,NA,NA,2,"3","3","Heatwave in the winter season","hww","catch_condition",1,1,5,NA,NA
NA,NA,"not_specified",5,"b",NA,NA,NA,NA,2,"1   Yes, then it gets quite a lot worse. Perch cannot tolerate lying in nets; they die almost immediately. Salmon in traps is a short fishing period and in deep water, so it doesn’t get warm enough to affect them","M","Heatwave in the summer season","hws","catch_condition",1,1,5,NA,NA
NA,NA,"perch",5,"b",1,NA,NA,NA,2,"1   Yes, then it gets quite a lot worse. Perch cannot tolerate lying in nets; they die almost immediately. Salmon in traps is a short fishing period and in deep water, so it doesn’t get warm enough to affect them","M","Heatwave in the summer season","hws","catch_condition",1,1,5,0,0
NA,NA,"salmon",5,"b",3,NA,NA,NA,2,"1   Yes, then it gets quite a lot worse. Perch cannot tolerate lying in nets; they die almost immediately. Salmon in traps is a short fishing period and in deep water, so it doesn’t get warm enough to affect them","M","Heatwave in the summer season","hws","catch_condition",1,1,5,0.5,0
NA,NA,"not_specified",5,"c",-999,NA,NA,NA,2,NA,NA,"Severe icing (in the winter season)","ici","catch_condition",1,1,5,NA,NA
NA,NA,"perch",5,"c",NA,NA,NA,NA,2,NA,NA,"Severe icing (in the winter season)","ici","catch_condition",1,1,5,NA,NA
NA,NA,"salmon",5,"c",NA,NA,NA,NA,2,NA,NA,"Severe icing (in the winter season)","ici","catch_condition",1,1,5,NA,NA
NA,NA,"not_specified",5,"d",2,NA,NA,NA,2,"If there were to be strong algal bloom, which hasn’t happened so far, then it would certainly affect negatively   hypothetical.",NA,"Algal bloom (in the summer season)","abl","catch_condition",1,1,5,0.25,0
NA,NA,"perch",5,"d",NA,NA,NA,NA,2,"If there were to be strong algal bloom, which hasn’t happened so far, then it would certainly affect negatively   hypothetical.",NA,"Algal bloom (in the summer season)","abl","catch_condition",1,1,5,NA,NA
NA,NA,"salmon",5,"d",NA,NA,NA,NA,2,"If there were to be strong algal bloom, which hasn’t happened so far, then it would certainly affect negatively   hypothetical.",NA,"Algal bloom (in the summer season)","abl","catch_condition",1,1,5,NA,NA
NA,NA,"not_specified",5,"e",-998,NA,NA,NA,2,NA,NA,"Extreme cloudburst (in the summer season)","erf","catch_condition",1,1,5,NA,NA
NA,NA,"perch",5,"e",NA,NA,NA,NA,2,NA,NA,"Extreme cloudburst (in the summer season)","erf","catch_condition",1,1,5,NA,NA
NA,NA,"salmon",5,"e",NA,NA,NA,NA,2,NA,NA,"Extreme cloudburst (in the summer season)","erf","catch_condition",1,1,5,NA,NA
NA,NA,"not_specified",5,"f",-998,NA,NA,NA,2,NA,NA,"Gale","gal","catch_condition",1,1,5,NA,NA
NA,NA,"perch",5,"f",NA,NA,NA,NA,2,NA,NA,"Gale","gal","catch_condition",1,1,5,NA,NA
NA,NA,"salmon",5,"f",NA,NA,NA,NA,2,NA,NA,"Gale","gal","catch_condition",1,1,5,NA,NA
NA,NA,"not_specified",5,"g",-998,NA,NA,NA,2,NA,NA,"Storm","sto","catch_condition",1,1,5,NA,NA
NA,NA,"perch",5,"g",NA,NA,NA,NA,2,NA,NA,"Storm","sto","catch_condition",1,1,5,NA,NA
NA,NA,"salmon",5,"g",NA,NA,NA,NA,2,NA,NA,"Storm","sto","catch_condition",1,1,5,NA,NA
NA,NA,NA,6,"a",-999,NA,NA,NA,2,NA,NA,"Heatwave in the winter season","hww","cope_condition",1,1,5,NA,NA
NA,NA,NA,6,"b",3,NA,NA,NA,2,"Fish in deeper waters, maybe a middle value (3).","3","Heatwave in the summer season","hws","cope_condition",1,1,5,0.5,0
NA,NA,NA,6,"c",-999,NA,NA,NA,2,NA,NA,"Severe icing (in the winter season)","ici","cope_condition",1,1,5,NA,NA
NA,NA,NA,6,"d",4,NA,NA,NA,2,"Fish in deeper waters, not difficult to avoid",NA,"Algal bloom (in the summer season)","abl","cope_condition",1,1,5,0.75,0
NA,NA,NA,6,"e",-999,NA,NA,NA,2,NA,NA,"Extreme cloudburst (in the summer season)","erf","cope_condition",1,1,5,NA,NA
NA,NA,NA,6,"f",-999,NA,NA,NA,2,NA,NA,"Gale","gal","cope_condition",1,1,5,NA,NA
NA,NA,NA,6,"g",-999,NA,NA,NA,2,NA,NA,"Storm","sto","cope_condition",1,1,5,NA,NA
NA,NA,NA,7,"a",3,NA,NA,NA,2,NA,NA,"Heatwave in the winter season","hww","lag_effect",1,1,5,0.5,0
NA,NA,NA,7,"b",3,NA,NA,NA,2,NA,NA,"Heatwave in the summer season","hws","lag_effect",1,1,5,0.5,0
NA,NA,NA,7,"c",-998,NA,NA,NA,2,NA,NA,"Severe icing (in the winter season)","ici","lag_effect",1,1,5,NA,NA
NA,NA,NA,7,"d",-998,NA,NA,NA,2,NA,NA,"Algal bloom (in the summer season)","abl","lag_effect",1,1,5,NA,NA
NA,NA,NA,7,"e",-998,NA,NA,NA,2,NA,NA,"Extreme cloudburst (in the summer season)","erf","lag_effect",1,1,5,NA,NA
NA,NA,NA,7,"f",3,NA,NA,NA,2,NA,NA,"Gale","gal","lag_effect",1,1,5,0.5,0
NA,NA,NA,7,"g",3,NA,NA,NA,2,NA,NA,"Storm","sto","lag_effect",1,1,5,0.5,0
NA,NA,NA,9,"a",0,NA,NA,NA,2,"0","0","Heatwave in the winter season","hww","personal_safety",1,0,2,0,0
NA,NA,NA,9,"b",0,NA,NA,NA,2,"0","0","Heatwave in the summer season","hws","personal_safety",1,0,2,0,0
NA,NA,NA,9,"c",2,NA,NA,NA,2,"2   boat may sink","2","Severe icing (in the winter season)","ici","personal_safety",1,0,2,1,0
NA,NA,NA,9,"d",0,NA,NA,NA,2,"0","0","Algal bloom (in the summer season)","abl","personal_safety",1,0,2,0,0
NA,NA,NA,9,"e",0,NA,NA,NA,2,"0","0","Extreme cloudburst (in the summer season)","erf","personal_safety",1,0,2,0,0
NA,NA,NA,9,"f",0,NA,NA,NA,2,"0   no major concern","0","Gale","gal","personal_safety",1,0,2,0,0
NA,NA,NA,9,"g",2,NA,NA,NA,2,"2","2","Storm","sto","personal_safety",1,0,2,1,0
NA,NA,NA,10,"a",0,NA,NA,NA,2,"0)   No boat used, the snowmobile can get stuck, but no damage, only extra work","0","Heatwave in the winter season","hww","damage",1,0,3,0,0
NA,NA,NA,10,"b",0,NA,NA,NA,2,"More work cleaning gear from fouling, (1)   if that can even be called damage.","1","Heatwave in the summer season","hws","damage",1,0,3,0,0
NA,NA,NA,10,"c",1,NA,NA,NA,2,"1","1","Severe icing (in the winter season)","ici","damage",1,0,3,0.33,0
NA,NA,NA,10,"d",1,NA,NA,NA,2,"0","0","Algal bloom (in the summer season)","abl","damage",1,0,3,0.33,0
NA,NA,NA,10,"e",1,NA,NA,NA,2,"(1)   If the boat sinks or the engine ends up under water (that’s enough for one summer).","1","Extreme cloudburst (in the summer season)","erf","damage",1,0,3,0.33,0
NA,NA,NA,10,"f",1,NA,NA,NA,2,"1","1","Gale","gal","damage",1,0,3,0.33,0
NA,NA,NA,10,"g",1.5,NA,NA,NA,2,"(2)   Mostly to gear. It very rarely happens that we lose gear completely, but a small risk exists ","2","Storm","sto","damage",1,0,3,0.5,0
NA,NA,NA,13,"a",1,NA,NA,NA,2,"(1)   We might choose areas where travel on ice is easier.","1","Heatwave in the winter season","hww","change_practices",1,0,2,0.5,0
NA,NA,NA,13,"b",1,NA,NA,NA,2,"(1)   Might change areas a little bit","1","Heatwave in the summer season","hws","change_practices",1,0,2,0.5,0
NA,NA,NA,13,"c",-999,NA,NA,NA,2,"We fish so little during that season that it’s hard to say",NA,"Severe icing (in the winter season)","ici","change_practices",1,0,2,NA,NA
NA,NA,NA,13,"d",0,NA,NA,NA,2,"0","0","Algal bloom (in the summer season)","abl","change_practices",1,0,2,0,0
NA,NA,NA,13,"e",0,NA,NA,NA,2,"(0)   We wait until the downpour is over and then go out; usually it only lasts a few hours.","0","Extreme cloudburst (in the summer season)","erf","change_practices",1,0,2,0,0
NA,NA,NA,13,"f",2,NA,NA,NA,2,"(2)   Then we may not go out at all.","2","Gale","gal","change_practices",1,0,2,1,0
NA,NA,NA,13,"g",2,NA,NA,NA,2,"(2)   Then it’s quite certain we won’t go out.","2","Storm","sto","change_practices",1,0,2,1,0
NA,NA,NA,15,"a",2,NA,NA,NA,2,"Not so easy, rather difficult (2).","2","Heatwave in the winter season","hww","avoidance",1,1,5,0.25,0
NA,NA,NA,15,"b",2,NA,NA,NA,2,"(2)   Quite difficult.","2","Heatwave in the summer season","hws","avoidance",1,1,5,0.25,0
NA,NA,NA,15,"c",-999,NA,NA,NA,2,"can’t answer",NA,"Severe icing (in the winter season)","ici","avoidance",1,1,5,NA,NA
NA,NA,NA,15,"d",4,NA,NA,NA,2,"Quite easy (4).","4","Algal bloom (in the summer season)","abl","avoidance",1,1,5,0.75,0
NA,NA,NA,15,"e",-999,NA,NA,NA,2,"Doesn’t affect much, so   (not scored).",NA,"Extreme cloudburst (in the summer season)","erf","avoidance",1,1,5,NA,NA
NA,NA,NA,15,"f",1,NA,NA,NA,2,"When it’s windy, it’s windy everywhere, so quite difficult (1)   although you can always find some spot.","1","Gale","gal","avoidance",1,1,5,0,0
NA,NA,NA,15,"g",1,NA,NA,NA,2,"Impossible to fish at all (1).","1","Storm","sto","avoidance",1,1,5,0,0
NA,NA,NA,21,"a",3,NA,NA,NA,2,"Personal injury during fishing: 3","3","Heatwave in the winter season","hww","stress",5,1,5,0.5,1
NA,NA,NA,21,"b",2,NA,NA,NA,2,"Losing fishing gear: 2 not so stressful since it is quite rare","2","Heatwave in the summer season","hws","stress",5,1,5,0.25,1
NA,NA,NA,21,"c",2,NA,NA,NA,2,"Low quality of the fish in the catch: 2 possible to avoid so not very stressful","2","Severe icing (in the winter season)","ici","stress",5,1,5,0.25,1
NA,NA,NA,0,NA,NA,NA,NA,NA,2,"coastal",NA,NA,NA,"fishing_style",NA,NA,NA,NA,NA
NA,NA,NA,11,NA,NA,"10000","50000","sek_unit",2,"Tens of thousands of SEK, nets and such",NA,NA,NA,"minor_damage_cost",1,NA,NA,NA,NA
NA,NA,NA,12,NA,NA,"1e+05","5e+05","sek_unit",2,"Several hundred thousand SEK ",NA,NA,NA,"major_damage_cost",1,NA,NA,NA,NA
NA,NA,NA,16,NA,1,NA,NA,NA,2,"1","1",NA,NA,"gear characteristics",1,0,2,0.5,0
NA,NA,NA,17,NA,0,NA,NA,NA,2,"We only have one landing harbor, so it requires us to stay in the local area. (0)","0",NA,NA,"infrastructure",1,0,2,0,0
NA,NA,NA,18,NA,999,NA,NA,NA,2,"Generally, we have quite a lot of mobility in terms of management; fixed gear locations are accessible fishing spots. Only for salmon fishing the license is tied to a specific boat, so you can’t switch to a larger boat. For net fishing it doesn’t matter.  (Example given: switching to a larger and safer boat than the one tied to the salmon license in order to haul the salmon trap during gale, but then getting a penalty on the license).",NA,NA,NA,"management_space",1,0,2,NA,NA
NA,NA,NA,19,NA,1,NA,NA,NA,2,"1  Depends on the fishing method. Salmon is the most restricted by management; it’s the hardest to switch between species. Vendace (siklöja) too, because of the short season. At that time, we have no other alternative species to fish.","1",NA,NA,"management_species",1,0,2,0.5,0
NA,NA,NA,23,NA,1,NA,NA,NA,2,"Personally: (5).
For Bothnian Bay fishers in general: If a large part of the vendace season were stormy, it would be very hard to replace it with other income. Most have other jobs in winter, but fishing is such a significant part of income","5",NA,NA,"job_mobility",5,1,5,0,1
NA,NA,NA,24,NA,5,NA,NA,NA,2,"5 We do it all the time, try to find new products and species to use. People must learn to eat more species","5",NA,NA,"entrepeneurship",5,1,5,1,1
NA,NA,NA,25,NA,1,NA,NA,NA,2,"1 If you want to borrow 1 million for a machine, you need to have 1 million in your pocket. Not many fishers have that","1",NA,NA,"credit",5,1,5,0,1
NA,NA,NA,27,NA,5,NA,NA,NA,2,"5","5",NA,NA,"knowledge_transmission",1,1,5,1,0
NA,NA,NA,28,NA,5,NA,NA,NA,2,"5 Vendace fishing is extremely important for Kalix, not only for jobs but also for the town’s image","5",NA,NA,"benefit_local_community",1,1,5,1,0
NA,NA,NA,29,NA,5,NA,NA,NA,2,"5","5",NA,NA,"benefit_personal_community",1,1,5,1,0
NA,NA,NA,30,NA,5,NA,NA,NA,2,"[5] Very important: vendace, salmon, and herring.","5",NA,NA,"traditional_food",1,1,5,1,0
NA,NA,NA,32,NA,4,NA,NA,NA,2,"4 important","4",NA,NA,"outdoor_benefit",2,1,5,0.75,0.25
NA,NA,NA,33,NA,4,NA,NA,NA,2,"[4] Important.","4",NA,NA,"identity",2,1,5,0.75,0.25
NA,NA,NA,34,NA,4,NA,NA,NA,2,"Hard to say for specific places. For example, Kalix archipelago   what should I say? We live here, so yes, important.(4)","4",NA,NA,"sense_of_home",2,1,5,0.75,0.25
NA,NA,NA,36,NA,NA,"50","100","days",2,"Hard to say. If we have 6 months without ice, we actively fish 1 third of the days. But we keep the gear in the water all ice free days.",NA,NA,NA,"fdays",5,NA,NA,NA,NA
NA,NA,NA,37,NA,NA,"1e+06","1500000","sek_season",2,"Impossible to calculate per day. Over 6 months? It’s the four weeks of vendace fishing that make up the income. This varies. I haven’t broken down exactly what the fishing itself gives, plus there’s all the processing afterwards. Then you’d also have to deduct labor costs. Teija calculates roughly to get a value: 1.4 million SEK per year from vendace fishing. Plus some perch and bream. We haven’t fished salmon for several seasons — the quota is fished up in 7 days  [by those who have good fishing waters near the Torne River), so it’s not worth setting the gear, since it takes a week to set and a week to haul.",NA,NA,NA,"income",5,NA,NA,NA,NA
NA,NA,NA,38,NA,NA,"1e+05","5e+05","sek_season",2,"I don’t remember, it gets lumped together with all other repairs at Guldhaven. We buy 1 boat per season   several hundred thousand SEK   and a new trawl, 200k SEK, other stuff 100k SEK. Roughly 0.5 million SEK over two years.",NA,NA,NA,"season_maint",5,NA,NA,NA,NA
NA,NA,NA,39,NA,NA,NA,NA,"sek_day",2,"Don’t dare estimate.",NA,NA,NA,"fuel_trip",5,NA,NA,NA,NA
NA,NA,NA,40,NA,NA,NA,NA,"sek_day",2,"Marginal, since we have such short distances",NA,NA,NA,"extra_fuel",5,NA,NA,NA,NA
NA,NA,NA,41,NA,NA,NA,NA,"sek_day",2,"None for fishing itself. We bring in staff for processing  [130 people). Finding staff is the limiting factor in fishing, especially when there is as much vendace as there is now",NA,NA,NA,"extra_crew",5,NA,NA,NA,NA
NA,NA,NA,42,NA,NA,"3","3","minutes_gear",2,"Cleaning traps takes some time, and it gets worse as the water gets warmer. Cleaning 10 traps took 0.5 h. Now we only have 20 traps in the water because of the perch, but when we fish the most, we have 100 traps. Then it means a lot of driving to clean them every three weeks; otherwise, they stay all season, or we clean once. Built ourselves from mink wire. Clean with a pressure washer. Same with bream traps",NA,NA,NA,"extra_cleaning_cost",5,NA,NA,NA,NA
NA,NA,NA,43,NA,NA,NA,NA,"not_reported",2,"Things blow away. Doesn’t cost much, but takes time to pick everything up when it’s scattered across the bay.",NA,NA,NA,"exytra_other",NA,NA,NA,NA,NA
NA,NA,NA,45,NA,-999,NA,NA,NA,2,"The striped perch are real stripes! They have found more in test fishing. Small ones, now frozen, which she will send to us. 234 perch in the test fishing, 9 33 cm. We have a lot of perch here now, never been so many on rod fishing — in a 1 hour round we get 10 perch of eating size. Why do you think? Now that the vendace stock is so good, they have a lot of food, and they grow well when it’s warm. Seems to be good recruitment too, since we caught so many small ones. We had the nets here in Långviken, along a gradient from open sea to inner bay: mostly bream in the innermost net, and mostly perch in the outermost net. The largest perch were farthest out.",NA,NA,NA,"addition",NA,NA,NA,NA,NA
NA,NA,NA,46,NA,5,NA,NA,NA,2,"For the vendace fishery, a lost day can have a huge impact (could be a million in lost income), linked to the ristricted quotas. For the other small-scale coastal fishery, a lost day is of almost no importance.","5",NA,NA,"substitution_capacity",1,1,5,1,0
NA,NA,NA,2,"a",-999,NA,NA,NA,3,"Depends on ice. Boats are usually hauled up in winter. If forecast shows winter is over, we might launch. Unlikely to put in and haul up again. Might use the small boat if open water, but ice may return. Large boats remain on land. =1 regardless.",NA,"Heatwave in the winter season","hww","go_fishing",1,1,5,NA,NA
NA,NA,NA,2,"b",5,NA,NA,NA,3,"Then we fish, just go further out where it’s cooler. =5.","5","Heatwave in the summer season","hws","go_fishing",1,1,5,1,0
NA,NA,NA,2,"c",-999,NA,NA,NA,3,"5 (icing can happen in spring). ","5","Severe icing (in the winter season)","ici","go_fishing",1,1,5,NA,NA
NA,NA,NA,2,"d",5,NA,NA,NA,3,"Rare up here, but still fish. =5.","5","Algal bloom (in the summer season)","abl","go_fishing",1,1,5,1,0
NA,NA,NA,2,"e",3,NA,NA,NA,3,"If gear is already out, we go anyway. If not, we wait. =3.","3","Extreme cloudburst (in the summer season)","erf","go_fishing",1,1,5,0.5,0
NA,NA,NA,2,"f",1,NA,NA,NA,3,"No, we stay home. =1.","1","Gale","gal","go_fishing",1,1,5,0,0
NA,NA,NA,2,"g",1,NA,NA,NA,3,"No, we stay home. =1.","1","Storm","sto","go_fishing",1,1,5,0,0
NA,NA,"not_specified",3,"a",-999,NA,NA,NA,3,"Not relevant",NA,"Heatwave in the winter season","hww","catchability",1,1,5,NA,NA
NA,NA,"perch",3,"a",NA,NA,NA,NA,3,"Not relevant",NA,"Heatwave in the winter season","hww","catchability",1,1,5,NA,NA
NA,NA,"herring",3,"a",NA,NA,NA,NA,3,"Not relevant",NA,"Heatwave in the winter season","hww","catchability",1,1,5,NA,NA
NA,NA,"salmon",3,"a",NA,NA,NA,NA,3,"Not relevant",NA,"Heatwave in the winter season","hww","catchability",1,1,5,NA,NA
NA,NA,"not_specified",3,"b",2,NA,NA,NA,3,"Heatwave makes it worse. =2.","2","Heatwave in the summer season","hws","catchability",1,1,5,0.25,0
NA,NA,"perch",3,"b",NA,NA,NA,NA,3,"Heatwave makes it worse. =2.","2","Heatwave in the summer season","hws","catchability",1,1,5,NA,NA
NA,NA,"herring",3,"b",NA,NA,NA,NA,3,"Heatwave makes it worse. =2.","2","Heatwave in the summer season","hws","catchability",1,1,5,NA,NA
NA,NA,"salmon",3,"b",NA,NA,NA,NA,3,"Heatwave makes it worse. =2.","2","Heatwave in the summer season","hws","catchability",1,1,5,NA,NA
NA,NA,"not_specified",3,"c",-999,NA,NA,NA,3,"not relevant ",NA,"Severe icing (in the winter season)","ici","catchability",1,1,5,NA,NA
NA,NA,"perch",3,"c",NA,NA,NA,NA,3,"not relevant ",NA,"Severe icing (in the winter season)","ici","catchability",1,1,5,NA,NA
NA,NA,"herring",3,"c",NA,NA,NA,NA,3,"not relevant ",NA,"Severe icing (in the winter season)","ici","catchability",1,1,5,NA,NA
NA,NA,"salmon",3,"c",NA,NA,NA,NA,3,"not relevant ",NA,"Severe icing (in the winter season)","ici","catchability",1,1,5,NA,NA
NA,NA,"not_specified",3,"d",3,NA,NA,NA,3,"For perch, it gets worse (=2). Same for herring, due to warmth. ","M","Algal bloom (in the summer season)","abl","catchability",1,1,5,0.5,0
NA,NA,"perch",3,"d",2,NA,NA,NA,3,"For perch, it gets worse (=2). Same for herring, due to warmth. ","M","Algal bloom (in the summer season)","abl","catchability",1,1,5,0.25,0
NA,NA,"herring",3,"d",2,NA,NA,NA,3,"For perch, it gets worse (=2). Same for herring, due to warmth. ","M","Algal bloom (in the summer season)","abl","catchability",1,1,5,0.25,0
NA,NA,"salmon",3,"d",NA,NA,NA,NA,3,"For perch, it gets worse (=2). Same for herring, due to warmth. ","M","Algal bloom (in the summer season)","abl","catchability",1,1,5,NA,NA
NA,NA,"not_specified",3,"e",3,NA,NA,NA,3,"Doesn’t affect catchability (only whether we go out). =3.","3","Extreme cloudburst (in the summer season)","erf","catchability",1,1,5,0.5,0
NA,NA,"perch",3,"e",NA,NA,NA,NA,3,"Doesn’t affect catchability (only whether we go out). =3.","3","Extreme cloudburst (in the summer season)","erf","catchability",1,1,5,NA,NA
NA,NA,"herring",3,"e",NA,NA,NA,NA,3,"Doesn’t affect catchability (only whether we go out). =3.","3","Extreme cloudburst (in the summer season)","erf","catchability",1,1,5,NA,NA
NA,NA,"salmon",3,"e",NA,NA,NA,NA,3,"Doesn’t affect catchability (only whether we go out). =3.","3","Extreme cloudburst (in the summer season)","erf","catchability",1,1,5,NA,NA
NA,NA,"not_specified",3,"f",NA,NA,NA,NA,3,"Yes – after a gale from the right direction, herring can blow in, salmon may swim more too (E, NE in summer). =4. From W & NW it gets worse instead. ","M","Gale","gal","catchability",1,1,5,NA,NA
NA,NA,"perch",3,"f",NA,NA,NA,NA,3,"Yes – after a gale from the right direction, herring can blow in, salmon may swim more too (E, NE in summer). =4. From W & NW it gets worse instead. ","M","Gale","gal","catchability",1,1,5,NA,NA
NA,NA,"herring",3,"f",4,NA,NA,NA,3,"Yes – after a gale from the right direction, herring can blow in, salmon may swim more too (E, NE in summer). =4. From W & NW it gets worse instead. ","M","Gale","gal","catchability",1,1,5,0.75,0
NA,NA,"salmon",3,"f",4,NA,NA,NA,3,"Yes – after a gale from the right direction, herring can blow in, salmon may swim more too (E, NE in summer). =4. From W & NW it gets worse instead. ","M","Gale","gal","catchability",1,1,5,0.75,0
NA,NA,"not_specified",3,"g",NA,NA,NA,NA,3,"Same, just stronger wind.",NA,"Storm","sto","catchability",1,1,5,NA,NA
NA,NA,"perch",3,"g",NA,NA,NA,NA,3,"Same, just stronger wind.",NA,"Storm","sto","catchability",1,1,5,NA,NA
NA,NA,"herring",3,"g",4,NA,NA,NA,3,"Same, just stronger wind.",NA,"Storm","sto","catchability",1,1,5,0.75,0
NA,NA,"salmon",3,"g",4,NA,NA,NA,3,"Same, just stronger wind.",NA,"Storm","sto","catchability",1,1,5,0.75,0
NA,NA,NA,4,"a",-999,NA,NA,NA,3,"Not relevant.",NA,"Heatwave in the winter season","hww","catch_assemblage",1,1,5,NA,NA
NA,NA,NA,4,"b",1,NA,NA,NA,3,"very similar (1)","1","Heatwave in the summer season","hws","catch_assemblage",1,1,5,0,0
NA,NA,NA,4,"c",-999,NA,NA,NA,3,"not relevant",NA,"Severe icing (in the winter season)","ici","catch_assemblage",1,1,5,NA,NA
NA,NA,NA,4,"d",1,NA,NA,NA,3,"not directly (1)","1","Algal bloom (in the summer season)","abl","catch_assemblage",1,1,5,0,0
NA,NA,NA,4,"e",1,NA,NA,NA,3,"no (1)","1","Extreme cloudburst (in the summer season)","erf","catch_assemblage",1,1,5,0,0
NA,NA,NA,4,"f",1,NA,NA,NA,3,"1","1","Gale","gal","catch_assemblage",1,1,5,0,0
NA,NA,NA,4,"g",1,NA,NA,NA,3,"1","1","Storm","sto","catch_assemblage",1,1,5,0,0
NA,NA,NA,5,"a",-999,NA,NA,NA,3,"not relevant",NA,"Heatwave in the winter season","hww","catch_condition",1,1,5,NA,NA
NA,NA,NA,5,"b",1,NA,NA,NA,3,"much worse, must get them quickly into cooling boxes (1)","1","Heatwave in the summer season","hws","catch_condition",1,1,5,0,0
NA,NA,NA,5,"c",-999,NA,NA,NA,3,"not relevant",NA,"Severe icing (in the winter season)","ici","catch_condition",1,1,5,NA,NA
NA,NA,NA,5,"d",3,NA,NA,NA,3,"no, just from the heat",NA,"Algal bloom (in the summer season)","abl","catch_condition",1,1,5,0.5,0
NA,NA,NA,5,"e",3,NA,NA,NA,3,"no (3)","3","Extreme cloudburst (in the summer season)","erf","catch_condition",1,1,5,0.5,0
NA,NA,NA,5,"f",3,NA,NA,NA,3,"no (3)","3","Gale","gal","catch_condition",1,1,5,0.5,0
NA,NA,NA,5,"g",3,NA,NA,NA,3,"no (3)","3","Storm","sto","catch_condition",1,1,5,0.5,0
NA,NA,NA,6,"a",-999,NA,NA,NA,3,NA,NA,"Heatwave in the winter season","hww","cope_condition",1,1,5,NA,NA
NA,NA,NA,6,"b",5,NA,NA,NA,3,"Only b. Go out before midday heat. Early mornings for herring, perch later in day. Adjust by hauling nets earlier. =5.","5","Heatwave in the summer season","hws","cope_condition",1,1,5,1,0
NA,NA,NA,6,"c",-999,NA,NA,NA,3,NA,NA,"Severe icing (in the winter season)","ici","cope_condition",1,1,5,NA,NA
NA,NA,NA,6,"d",-999,NA,NA,NA,3,NA,NA,"Algal bloom (in the summer season)","abl","cope_condition",1,1,5,NA,NA
NA,NA,NA,6,"e",-999,NA,NA,NA,3,NA,NA,"Extreme cloudburst (in the summer season)","erf","cope_condition",1,1,5,NA,NA
NA,NA,NA,6,"f",-999,NA,NA,NA,3,NA,NA,"Gale","gal","cope_condition",1,1,5,NA,NA
NA,NA,NA,6,"g",-999,NA,NA,NA,3,NA,NA,"Storm","sto","cope_condition",1,1,5,NA,NA
NA,NA,NA,7,"a",-999,NA,NA,NA,3,NA,NA,"Heatwave in the winter season","hww","lag_effect",1,1,5,NA,NA
NA,NA,NA,7,"b",1,NA,NA,NA,3,NA,NA,"Heatwave in the summer season","hws","lag_effect",1,1,5,0,0
NA,NA,NA,7,"c",-999,NA,NA,NA,3,NA,NA,"Severe icing (in the winter season)","ici","lag_effect",1,1,5,NA,NA
NA,NA,NA,7,"d",1,NA,NA,NA,3,NA,NA,"Algal bloom (in the summer season)","abl","lag_effect",1,1,5,0,0
NA,NA,NA,7,"e",1,NA,NA,NA,3,NA,NA,"Extreme cloudburst (in the summer season)","erf","lag_effect",1,1,5,0,0
NA,NA,NA,7,"f",1,NA,NA,NA,3,NA,NA,"Gale","gal","lag_effect",1,1,5,0,0
NA,NA,NA,7,"g",1,NA,NA,NA,3,NA,NA,"Storm","sto","lag_effect",1,1,5,0,0
NA,NA,NA,9,"a",-999,NA,NA,NA,3,"NA",NA,"Heatwave in the winter season","hww","personal_safety",1,0,2,NA,NA
NA,NA,NA,9,"b",0,NA,NA,NA,3,"0","0","Heatwave in the summer season","hws","personal_safety",1,0,2,0,0
NA,NA,NA,9,"c",-999,NA,NA,NA,3,"NA",NA,"Severe icing (in the winter season)","ici","personal_safety",1,0,2,NA,NA
NA,NA,NA,9,"d",0,NA,NA,NA,3,"0","0","Algal bloom (in the summer season)","abl","personal_safety",1,0,2,0,0
NA,NA,NA,9,"e",0,NA,NA,NA,3,"0","0","Extreme cloudburst (in the summer season)","erf","personal_safety",1,0,2,0,0
NA,NA,NA,9,"f",1,NA,NA,NA,3,"rarely go ouyt but sudden events possible",NA,"Gale","gal","personal_safety",1,0,2,0.5,0
NA,NA,NA,9,"g",-998,NA,NA,NA,3,"don’t go out  ",NA,"Storm","sto","personal_safety",1,0,2,NA,NA
